LibraryLayout	Library_Name	Run	Replicate_Name	Sex	dev_stage	organism_part	RNA	Sample_Name
SINGLE	Female Whole (Mir)	ERR2116048	Female_Whole_Mir_1	female	Adult	Whole	microRNA	Female_Whole_Mir
SINGLE	Female Whole (Mir)	ERR2116049	Female_Whole_Mir_2	female	Adult	Whole	microRNA	Female_Whole_Mir
SINGLE	Female Whole (Mir)	ERR2116050	Female_Whole_Mir_3	female	Adult	Whole	microRNA	Female_Whole_Mir
PAIRED	Larval Carcass	ERR2105693	Larval_Carcass_1	unknown	Larva	Carcass	mRNA	Larval_Carcass
PAIRED	Larval Carcass	ERR2105694	Larval_Carcass_2	unknown	Larva	Carcass	mRNA	Larval_Carcass
PAIRED	Larval Carcass	ERR2105695	Larval_Carcass_3	unknown	Larva	Carcass	mRNA	Larval_Carcass
SINGLE	Larval Carcass (Mir)	ERR2116838	Larval_Carcass_Mir_1	unknown	Larva	Carcass	microRNA	Larval_Carcass_Mir
SINGLE	Larval Carcass (Mir)	ERR2116839	Larval_Carcass_Mir_2	unknown	Larva	Carcass	microRNA	Larval_Carcass_Mir
SINGLE	Larval Carcass (Mir)	ERR2116840	Larval_Carcass_Mir_3	unknown	Larva	Carcass	microRNA	Larval_Carcass_Mir
PAIRED	Larval CNS	ERR2105719	Larval_CNS_1	unknown	Larva	Central Nervous System	mRNA	Larval_CNS
PAIRED	Larval CNS	ERR2105720	Larval_CNS_2	unknown	Larva	Central Nervous System	mRNA	Larval_CNS
PAIRED	Larval CNS	ERR2105721	Larval_CNS_3	unknown	Larva	Central Nervous System	mRNA	Larval_CNS
SINGLE	Larval CNS (Mir)	ERR2116841	Larval_CNS_Mir_1	unknown	Larva	Central Nervous System	microRNA	Larval_CNS_Mir
SINGLE	Larval CNS (Mir)	ERR2116842	Larval_CNS_Mir_2	unknown	Larva	Central Nervous System	microRNA	Larval_CNS_Mir
SINGLE	Larval CNS (Mir)	ERR2116843	Larval_CNS_Mir_3	unknown	Larva	Central Nervous System	microRNA	Larval_CNS_Mir
PAIRED	Larval FatBody	ERR2105722	Larval_FatBody_1	unknown	Larva	Fat Body	mRNA	Larval_FatBody
PAIRED	Larval FatBody	ERR2105723	Larval_FatBody_2	unknown	Larva	Fat Body	mRNA	Larval_FatBody
PAIRED	Larval FatBody	ERR2105724	Larval_FatBody_3	unknown	Larva	Fat Body	mRNA	Larval_FatBody
SINGLE	Larval FatBody (Mir)	ERR2116844	Larval_FatBody_Mir_1	unknown	Larva	Fat Body	microRNA	Larval_FatBody_Mir
SINGLE	Larval FatBody (Mir)	ERR2116845	Larval_FatBody_Mir_2	unknown	Larva	Fat Body	microRNA	Larval_FatBody_Mir
SINGLE	Larval FatBody (Mir)	ERR2116846	Larval_FatBody_Mir_3	unknown	Larva	Fat Body	microRNA	Larval_FatBody_Mir
PAIRED	Larval Hindgut	ERR2106358	Larval_Hindgut_1	unknown	Larva	Hindgut	mRNA	Larval_Hindgut
PAIRED	Larval Hindgut	ERR2106359	Larval_Hindgut_2	unknown	Larva	Hindgut	mRNA	Larval_Hindgut
PAIRED	Larval Hindgut	ERR2106360	Larval_Hindgut_3	unknown	Larva	Hindgut	mRNA	Larval_Hindgut
SINGLE	Larval Hindgut (Mir)	ERR2116847	Larval_Hindgut_Mir_1	unknown	Larva	Hindgut	microRNA	Larval_Hindgut_Mir
SINGLE	Larval Hindgut (Mir)	ERR2116848	Larval_Hindgut_Mir_2	unknown	Larva	Hindgut	microRNA	Larval_Hindgut_Mir
SINGLE	Larval Hindgut (Mir)	ERR2116849	Larval_Hindgut_Mir_3	unknown	Larva	Hindgut	microRNA	Larval_Hindgut_Mir
PAIRED	Larval Midgut	ERR2107339	Larval_Midgut_1	unknown	Larva	Midgut	mRNA	Larval_Midgut
PAIRED	Larval Midgut	ERR2107340	Larval_Midgut_2	unknown	Larva	Midgut	mRNA	Larval_Midgut
PAIRED	Larval Midgut	ERR2107341	Larval_Midgut_3	unknown	Larva	Midgut	mRNA	Larval_Midgut
SINGLE	Larval Midgut (Mir)	ERR2116892	Larval_Midgut_Mir_1	unknown	Larva	Midgut	microRNA	Larval_Midgut_Mir
SINGLE	Larval Midgut (Mir)	ERR2116893	Larval_Midgut_Mir_2	unknown	Larva	Midgut	microRNA	Larval_Midgut_Mir
SINGLE	Larval Midgut (Mir)	ERR2116894	Larval_Midgut_Mir_3	unknown	Larva	Midgut	microRNA	Larval_Midgut_Mir
PAIRED	Larval Salivary Gland	ERR2107342	Larval_Salivary_Gland_1	unknown	Larva	Salivary Gland	mRNA	Larval_Salivary_Gland
PAIRED	Larval Salivary Gland	ERR2107343	Larval_Salivary_Gland_2	unknown	Larva	Salivary Gland	mRNA	Larval_Salivary_Gland
PAIRED	Larval Salivary Gland	ERR2107344	Larval_Salivary_Gland_3	unknown	Larva	Salivary Gland	mRNA	Larval_Salivary_Gland
SINGLE	Larval Salivary Gland (Mir)	ERR2116895	Larval_Salivary_Gland_Mir_1	unknown	Larva	Salivary Gland	microRNA	Larval_Salivary_Gland_Mir
SINGLE	Larval Salivary Gland (Mir)	ERR2116896	Larval_Salivary_Gland_Mir_2	unknown	Larva	Salivary Gland	microRNA	Larval_Salivary_Gland_Mir
SINGLE	Larval Salivary Gland (Mir)	ERR2116897	Larval_Salivary_Gland_Mir_3	unknown	Larva	Salivary Gland	microRNA	Larval_Salivary_Gland_Mir
PAIRED	Larval Trachea	ERR2107419	Larval_Trachea_1	unknown	Larva	Trachea	mRNA	Larval_Trachea
PAIRED	Larval Trachea	ERR2107420	Larval_Trachea_2	unknown	Larva	Trachea	mRNA	Larval_Trachea
PAIRED	Larval Trachea	ERR2107421	Larval_Trachea_3	unknown	Larva	Trachea	mRNA	Larval_Trachea
SINGLE	Larval Trachea (Mir)	ERR2116898	Larval_Trachea_Mir_1	unknown	Larva	Trachea	microRNA	Larval_Trachea_Mir
SINGLE	Larval Trachea (Mir)	ERR2116899	Larval_Trachea_Mir_2	unknown	Larva	Trachea	microRNA	Larval_Trachea_Mir
SINGLE	Larval Trachea (Mir)	ERR2116900	Larval_Trachea_Mir_3	unknown	Larva	Trachea	microRNA	Larval_Trachea_Mir
PAIRED	Larval Tubule	ERR2107422	Larval_Tubule_1	unknown	Larva	Malpighian Tubules	mRNA	Larval_Tubule
PAIRED	Larval Tubule	ERR2107423	Larval_Tubule_2	unknown	Larva	Malpighian Tubules	mRNA	Larval_Tubule
PAIRED	Larval Tubule	ERR2107424	Larval_Tubule_3	unknown	Larva	Malpighian Tubules	mRNA	Larval_Tubule
SINGLE	Larval Tubule (Mir)	ERR2116901	Larval_Tubule_Mir_1	unknown	Larva	Malpighian Tubules	microRNA	Larval_Tubule_Mir
SINGLE	Larval Tubule (Mir)	ERR2116902	Larval_Tubule_Mir_2	unknown	Larva	Malpighian Tubules	microRNA	Larval_Tubule_Mir
SINGLE	Larval Tubule (Mir)	ERR2116903	Larval_Tubule_Mir_3	unknown	Larva	Malpighian Tubules	microRNA	Larval_Tubule_Mir
PAIRED	Larval Whole	ERR2107425	Larval_Whole_1	unknown	Larva	whole	mRNA	Larval_Whole
PAIRED	Larval Whole	ERR2107426	Larval_Whole_2	unknown	Larva	whole	mRNA	Larval_Whole
PAIRED	Larval Whole	ERR2107427	Larval_Whole_3	unknown	Larva	whole	mRNA	Larval_Whole
SINGLE	Larval Whole (Mir)	ERR2116904	Larval_Whole_Mir_1	unknown	Larva	Whole flies	microRNA	Larval_Whole_Mir
SINGLE	Larval Whole (Mir)	ERR2116905	Larval_Whole_Mir_2	unknown	Larva	Whole flies	microRNA	Larval_Whole_Mir
SINGLE	Larval Whole (Mir)	ERR2116906	Larval_Whole_Mir_3	unknown	Larva	Whole flies	microRNA	Larval_Whole_Mir
SINGLE	Male Accessory Gland (Mir)	ERR2117072	Male_Accessory_Gland_Mir_1	male	Adult	Accessory Gland	microRNA	Male_Accessory_Gland_Mir
